Episode,Reward,Length
618,-998.10925,26
619,-1048.0128,20
620,-1223.9929,35
621,-4194.186,89
622,-1155.016,17
623,-33282.63,500
624,-797.752,15
625,-1375.0355,27
626,-26254.441,500
627,-9887.545,152
628,-1149.8864,25
629,-1267.5596,20
630,-2373.144,47
631,-1199.1641,30
632,-1791.7882,29
633,-1186.477,20
634,-2856.09,48
635,-436.61075,10
636,-3362.3591,48
637,-2346.744,51
638,-1535.9872,28
639,-1099.0668,22
640,-6050.213,118
641,-2890.3696,50
642,-1248.413,19
643,-1627.1152,30
644,-1438.644,31
645,-1897.3934,38
646,-23110.041,500
647,-1044.9677,19
648,-3073.6233,59
649,-1877.35,32
650,-18606.895,364
651,-777.51385,17
652,-1375.7416,28
653,-3744.697,62
654,-1386.7543,31
655,-4180.135,80
656,-3509.0718,52
657,-23558.926,500
658,-1882.66,35
659,-979.9923,15
660,-26712.898,500
661,-1300.7903,20
662,-656.29926,14
663,-4814.474,71
664,-13982.321,276
665,-1411.6669,35
666,-1767.4583,28
667,-4047.879,80
668,-992.72876,26
669,-2258.3862,38
670,-1401.4894,22
671,-6558.67,130
672,-1871.2163,26
673,-19137.037,299
674,-1187.0588,37
675,-2238.5056,29
676,-1753.9998,43
677,-2109.524,35
678,-10319.482,169
679,-2729.389,44
680,-1458.5317,32
681,-1419.3104,20
682,-847.55084,16
683,-1680.7625,29
684,-930.5432,20
685,-2377.7322,51
686,-1444.2489,21
687,-1256.8741,20
688,-1389.5188,28
689,-32398.287,500
690,-1378.8789,30
691,-1331.1392,24
692,-723.8118,15
693,-1626.3019,30
694,-2621.2502,74
695,-2205.1462,42
696,-26564.475,500
697,-8801.059,189
698,-9350.162,175
699,-1431.1019,29
700,-2741.3552,51
701,-2902.0835,41
702,-3996.362,83
703,-11271.233,227
704,-13622.777,276
705,-1338.6713,29
706,-2890.2986,55
707,-847.6964,17
708,-23503.799,500
709,-2740.7585,38
710,-5096.8115,88
711,-4836.988,73
712,-1759.157,48
713,-1647.5974,21
714,-3062.1184,70
715,-21624.938,500
716,-1485.0873,26
717,-1090.294,17
718,-31460.117,500
719,-4311.8076,59
720,-796.3918,16
721,-503.078,11
722,-1609.4463,27
723,-971.23114,21
724,-2262.7366,34
725,-2050.4346,30
726,-1411.4113,29
727,-1488.1536,32
728,-664.33093,18
729,-936.0984,28
730,-617.09393,12
731,-1795.5737,32
732,-1580.8536,27
733,-2177.135,47
734,-2493.7063,35
735,-1397.5026,25
736,-1145.8247,22
737,-2035.0836,32
738,-3235.3293,65
739,-1769.9554,28
740,-664.52893,12
741,-2270.0454,43
742,-6941.913,88
743,-8470.301,161
744,-2738.575,64
745,-1481.7384,33
746,-2879.814,49
747,-3568.2417,45
748,-748.9785,16
749,-1185.9243,30
750,-425.01572,9
751,-1736.2751,27
752,-29752.121,500
753,-1494.3135,30
754,-1169.022,19
755,-1945.6511,39
756,-1720.2343,32
757,-510.42035,11
758,-1273.1339,30
759,-911.2463,16
760,-26436.678,500
761,-1207.2511,18
762,-1282.66,23
763,-1721.1514,27
764,-10821.295,240
765,-3721.9685,105
766,-1885.5461,44
767,-2199.0479,45
768,-2120.1177,28
769,-1067.113,24
770,-1605.1328,25
771,-26203.518,500
772,-1121.3469,22
773,-867.5654,21
774,-468.09445,9
775,-1899.2252,40
776,-37067.62,500
777,-3774.0525,56
778,-1890.9385,28
779,-712.1544,13
780,-1356.3917,28
781,-1625.0205,27
782,-1682.1345,33
783,-2324.8271,36
784,-19829.348,500
785,-1114.9478,25
786,-2085.1335,46
787,-18461.533,500
788,-1948.9276,35
789,-1331.8842,19
790,-2473.4424,33
791,-38957.047,500
792,-9322.002,144
793,-945.47546,17
794,-1024.4224,22
795,-31656.527,500
796,-1411.7394,29
797,-2040.3219,27
798,-2921.1528,50
799,-1501.0173,27
800,-2526.2136,42
801,-1060.8455,26
802,-1847.9398,36
803,-2010.2605,41
804,-2940.856,67
805,-2113.9045,35
806,-2867.497,41
807,-1408.942,26
808,-3994.161,86
809,-2158.6802,34
810,-22007.271,500
811,-1523.4791,27
812,-1693.2139,23
813,-2416.9617,30
814,-1304.2719,24
815,-2681.19,40
816,-1613.4194,26
817,-3831.3003,46
818,-3159.468,54
819,-8912.126,222
820,-31082.25,500
821,-1799.0989,32
822,-1245.9252,25
823,-1111.5746,24
824,-1496.224,27
825,-1508.7499,24
826,-28712.193,500
827,-3256.1357,43
828,-1241.9102,18
829,-1632.9346,29
830,-881.923,18
831,-7630.4653,134
832,-1013.7437,24
833,-2908.8384,42
834,-1922.8018,27
835,-1788.4594,33
836,-3236.0874,61
837,-4433.4043,79
838,-1272.7235,23
839,-559.18335,13
840,-946.1687,19
841,-1053.9164,27
842,-1261.4386,24
843,-13183.603,277
844,-2046.4752,36
845,-1765.1786,32
846,-1552.3599,27
847,-1442.9443,27
848,-598.4509,8
849,-3196.3928,65
850,-4160.0454,68
851,-2199.8838,41
852,-2796.4988,39
853,-3327.353,55
854,-1537.5741,20
855,-1548.3779,25
856,-2152.8218,32
857,-6132.646,99
858,-1154.6279,24
859,-1001.2977,18
860,-827.12634,18
861,-1005.5454,24
862,-4349.048,54
863,-26777.799,500
864,-1128.5006,18
865,-964.4918,19
866,-1544.664,28
867,-707.00256,15
868,-1144.4357,23
869,-21738.512,500
870,-1711.1881,29
871,-651.8971,13
872,-650.7578,12
873,-6410.558,128
874,-4246.567,72
875,-1552.3291,24
876,-2310.433,33
877,-2581.4448,51
878,-1487.2887,22
879,-1983.6713,23
880,-30589.648,500
881,-1148.692,21
882,-28290.324,500
883,-826.1918,17
884,-1915.1256,30
885,-2654.9727,48
886,-1577.7795,20
887,-952.2604,16
888,-864.1727,25
889,-1647.7191,31
890,-17909.717,302
891,-1669.3495,36
892,-1241.9172,23
893,-1509.9714,30
894,-1863.6417,33
895,-4126.51,63
896,-507.14795,9
897,-17571.002,404
898,-1421.6771,23
899,-1375.3376,30
900,-2748.963,44
901,-1621.7766,24
902,-1914.9386,40
903,-25669.277,500
904,-3748.1123,54
