Episode,Reward,Length
473,-626.2083,24
474,-10376.712,500
475,-909.423,33
476,-10879.56,500
477,-631.467,26
478,-1834.8934,87
479,-702.07263,26
480,-806.29156,31
481,-646.1009,26
482,-754.4175,30
483,-2279.6768,86
484,-955.9355,33
485,-1323.2717,47
486,-900.334,34
487,-1088.998,39
488,-1817.5443,55
489,-726.37036,28
490,-1373.4983,47
491,-580.6836,19
492,-881.2147,40
493,-2419.0657,99
494,-1291.5425,53
495,-5014.304,204
496,-1022.48505,43
497,-2361.5615,92
498,-606.2078,23
499,-603.24286,24
500,-1640.4789,68
501,-589.4312,24
502,-700.0763,30
503,-1072.7966,41
504,-6195.0557,288
505,-1502.4832,59
506,-2095.2112,78
507,-892.41077,33
508,-1439.6558,61
509,-1489.2231,52
510,-1447.6871,61
511,-628.9571,25
512,-1807.4225,60
513,-917.94476,31
514,-553.7905,22
515,-793.7666,30
516,-675.13434,23
517,-1123.0981,46
518,-1996.0388,68
519,-771.8944,31
520,-1728.8373,79
521,-1024.7288,37
522,-441.8429,15
523,-1160.4994,41
524,-1821.9126,74
525,-2690.82,129
526,-921.88574,35
527,-2692.045,110
528,-2429.2869,101
529,-725.07684,30
530,-979.41125,47
531,-860.4107,32
532,-1441.6691,62
533,-1362.5,46
534,-1127.8011,40
535,-698.55945,26
536,-2654.2336,102
537,-1057.8129,43
538,-1064.9448,36
539,-987.68774,35
540,-901.25385,33
541,-2354.255,85
542,-820.6879,34
543,-883.55365,36
544,-730.60736,32
545,-12041.024,500
546,-1648.233,54
547,-811.04517,29
548,-1123.077,36
549,-663.33405,30
550,-545.9356,21
551,-817.4125,30
552,-697.72095,28
553,-2112.7844,123
554,-530.0085,23
555,-883.6422,29
556,-707.1726,32
557,-976.473,38
558,-911.19403,37
559,-552.4525,24
560,-1281.1323,48
561,-659.86816,22
562,-885.13104,37
563,-837.3148,34
564,-836.5918,30
565,-1956.0547,66
566,-772.9252,27
567,-353.21896,14
568,-1247.5419,42
569,-1291.8629,64
570,-848.1589,34
571,-2003.2583,71
572,-774.3344,34
573,-4511.307,151
574,-1047.2103,39
575,-868.9951,32
576,-1026.2148,47
577,-978.00195,32
578,-692.1093,24
579,-705.52545,30
580,-2338.895,91
581,-1488.0471,64
582,-1346.9452,51
583,-1979.3374,66
584,-934.7938,46
585,-726.0655,28
586,-1139.6378,38
587,-643.1154,29
588,-744.0797,27
589,-571.42004,24
590,-716.7761,32
591,-601.4033,26
592,-1269.8268,49
593,-968.6435,41
594,-1635.0891,67
595,-824.06354,32
596,-445.3125,20
597,-9242.857,500
598,-795.5784,27
599,-880.3419,31
600,-1031.001,36
