Episode,Reward,Length
565,-3322.3955,51
566,-3245.7517,36
567,-2118.6816,27
568,-1598.3016,24
569,-2174.1726,29
570,-2037.0469,25
571,-2636.371,35
572,-1681.6522,22
573,-3190.0894,35
574,-1905.9556,29
575,-3437.5315,45
576,-36621.086,500
577,-3133.9426,40
578,-2962.9727,37
579,-34468.332,500
580,-3286.8215,38
581,-7714.4756,110
582,-1707.5353,20
583,-1972.7129,31
584,-3034.06,36
585,-3194.7415,43
586,-2190.072,32
587,-3157.717,38
588,-1383.6145,16
589,-5069.351,75
590,-1182.6333,13
591,-2927.4768,46
592,-9266.666,146
593,-3158.4575,44
594,-4461.386,54
595,-2253.6636,28
596,-3549.0188,47
597,-2163.4858,30
598,-3030.8057,47
599,-1879.2388,32
600,-5948.689,98
601,-5967.0015,63
602,-2129.186,32
603,-1317.7727,19
604,-3881.303,48
605,-17586.283,227
606,-3471.9705,41
607,-1679.5804,19
608,-3044.2424,37
609,-1746.5122,26
610,-4710.143,62
611,-1648.273,23
612,-2609.11,33
613,-6152.392,76
614,-5120.6333,86
615,-3964.429,64
616,-4299.8804,53
617,-2780.879,34
618,-3289.4126,38
619,-2310.766,35
620,-2391.735,32
621,-1583.6199,17
622,-2172.982,34
623,-41604.04,500
624,-4574.062,53
625,-3974.1082,51
626,-3502.604,40
627,-1600.774,18
628,-2970.8997,38
629,-3934.8662,43
630,-2588.0613,35
631,-1596.7656,22
632,-3875.9424,47
633,-2510.671,32
634,-33034.344,500
635,-1994.5154,23
636,-5329.8154,74
637,-2940.6113,32
638,-2825.852,30
639,-1817.9955,29
640,-8955.134,115
641,-1487.986,20
642,-1487.9608,19
643,-3810.46,61
644,-2292.9941,37
645,-4558.6655,48
646,-3431.1519,54
647,-2367.5508,26
648,-15436.518,187
649,-4385.1797,47
650,-2115.8623,22
651,-1997.6592,40
652,-1608.0,22
653,-1949.1206,25
654,-1035.4976,14
655,-1636.9904,22
656,-2858.4773,43
657,-30963.871,420
658,-37657.3,500
659,-2646.6335,31
660,-1553.7458,22
661,-3367.3555,39
662,-3025.7422,40
663,-4712.872,55
664,-43219.094,500
665,-4030.539,69
666,-2744.7173,33
667,-2355.5942,34
668,-4411.2837,58
669,-1942.297,25
670,-2979.5996,33
671,-7942.969,82
672,-6582.2656,80
673,-3009.7358,50
674,-1774.837,25
675,-2346.359,29
676,-6727.728,77
677,-5500.094,61
678,-2705.4875,39
679,-5038.884,62
680,-1440.251,18
681,-2672.1208,33
682,-6550.839,107
683,-3019.688,35
684,-1696.4578,18
685,-2438.0164,33
686,-3460.3691,48
687,-2500.702,30
688,-2552.7756,37
689,-32865.242,500
690,-1327.3405,18
691,-1418.3254,16
692,-6249.4146,67
693,-1778.1414,25
694,-4643.1777,57
695,-6063.5522,66
696,-2909.043,35
697,-2429.1382,33
698,-40473.793,500
699,-5070.0234,62
700,-3266.8704,37
701,-2818.923,36
702,-2438.6404,31
703,-1273.9683,19
704,-46550.64,500
705,-1846.9275,32
706,-3789.4963,54
707,-4180.3975,49
708,-6655.8022,68
709,-1518.3778,24
710,-2142.9702,32
711,-2703.2712,32
712,-2739.5742,38
713,-2505.084,34
714,-3249.0476,34
715,-2271.8174,29
716,-43218.785,500
717,-9960.834,155
718,-2249.9978,28
719,-2364.5952,35
720,-3793.6086,55
721,-2104.8584,26
722,-2245.631,32
723,-6469.2134,81
724,-6957.5874,84
725,-2167.879,26
726,-1145.2968,14
727,-1648.6179,21
728,-4169.5625,68
729,-2136.9758,29
730,-2462.2964,36
731,-1998.7396,24
732,-2643.8608,30
733,-2077.179,29
734,-1284.3713,17
735,-1805.1217,19
736,-2496.0845,35
737,-2432.767,34
738,-2945.4668,39
739,-2791.8633,37
740,-20911.213,231
741,-4664.544,54
742,-2525.7446,32
743,-1254.9797,15
744,-3533.2012,38
745,-16737.186,257
746,-3509.23,46
747,-3094.9758,33
748,-1515.7648,23
749,-1540.8939,19
750,-2869.9453,35
751,-40009.035,500
752,-39775.793,500
753,-41751.746,500
754,-2093.5867,26
755,-5080.563,58
756,-2962.97,41
757,-2555.297,29
758,-4425.7197,56
759,-2560.9033,39
760,-6177.5625,65
761,-2536.2656,30
762,-2510.0247,31
763,-2873.437,33
764,-2560.6147,37
765,-1680.2725,24
766,-2187.9048,28
767,-2231.7388,31
768,-1979.7417,27
769,-2157.18,28
770,-2858.5398,34
771,-2237.074,30
772,-1623.2697,22
773,-2239.921,32
774,-1886.7234,22
775,-3379.116,47
776,-12577.123,194
777,-2434.698,28
778,-2111.9385,27
779,-2836.046,31
780,-1289.2216,21
781,-2285.1504,26
782,-2658.642,35
783,-2289.5679,32
784,-3975.5786,46
785,-1166.7756,18
786,-2327.1804,27
787,-3821.0488,42
788,-2201.4878,27
789,-4584.641,57
790,-1733.5581,22
791,-4105.139,46
792,-3785.9543,45
793,-36069.22,458
794,-2258.8328,31
795,-3435.9114,46
796,-1936.0679,30
797,-2595.496,37
798,-3256.4968,39
799,-4472.449,63
800,-6475.9736,87
801,-1631.7234,19
802,-1519.9128,19
803,-2591.3103,36
804,-4516.8706,57
805,-2808.7878,37
806,-3966.0864,46
807,-5872.1074,76
808,-3190.7686,37
809,-3011.321,38
810,-3300.3494,42
811,-2075.2317,29
812,-1627.0443,29
813,-3633.4297,39
814,-5039.253,63
815,-5628.509,69
816,-1539.504,22
817,-2064.1902,27
818,-2305.281,31
819,-1484.9846,17
820,-1944.3376,28
821,-4192.233,63
822,-1756.2925,25
823,-1219.5065,20
824,-6798.072,79
825,-1756.6976,20
826,-1647.4496,26
827,-3030.232,42
828,-4140.2134,46
829,-2534.852,34
830,-33060.434,500
831,-2039.3898,32
832,-4629.1846,72
833,-2014.3395,25
834,-1398.9685,23
835,-2242.1426,28
836,-3301.0134,38
837,-2412.2476,32
838,-2465.7742,29
839,-2069.7805,29
840,-1377.9309,17
841,-2067.2556,31
842,-4971.484,71
843,-7664.528,103
844,-2698.1865,33
845,-2617.2148,29
846,-3094.689,35
847,-2144.327,29
848,-2989.7485,45
849,-3099.479,44
850,-1146.0505,13
851,-2251.8591,30
852,-5771.1646,57
853,-1569.4495,20
854,-3470.8228,38
855,-961.7453,13
856,-4633.8203,69
857,-6975.4546,82
858,-3894.1785,45
859,-6178.745,71
860,-2380.2048,30
861,-2259.5298,28
862,-2611.1995,36
863,-3360.8066,36
864,-2016.2562,30
865,-1149.2184,17
866,-2089.4634,26
867,-1464.3755,18
868,-2204.1133,29
869,-2770.3728,32
870,-3264.7632,43
871,-2950.586,44
872,-2011.3737,29
873,-2036.3673,22
874,-36704.777,500
875,-1909.1963,26
876,-1515.9612,23
877,-1747.1981,20
878,-3212.4822,44
879,-3644.6304,44
880,-1832.7535,26
881,-1131.8134,16
882,-2049.7244,26
883,-2134.9883,24
884,-1982.1313,23
885,-2686.9011,37
886,-3346.4495,42
887,-6177.043,66
888,-2489.7544,29
889,-1543.2714,17
890,-2030.3845,25
891,-2170.325,26
892,-2909.9583,34
893,-20819.393,281
894,-1301.6891,17
895,-1947.8234,23
896,-5122.962,73
897,-2347.1003,36
898,-3442.623,45
899,-2241.8923,29
900,-7642.543,101
