Wall time,Step,Timestep,Value
1750422895,2872320,3886080,0.850000024
1750423000,2887680,3901440,0.899999976
1750423104,2903040,3916800,0.829999983
1750423208,2918400,3932160,0.769999981
1750423312,2933760,3947520,0.829999983
1750423417,2949120,3962880,0.850000024
1750423521,2964480,3978240,0.769999981
1750423626,2979840,3993600,0.829999983
1750423730,2995200,4008960,0.819999993
1750423834,3010560,4024320,0.839999974
1750423939,3025920,4039680,0.839999974
1750424043,3041280,4055040,0.870000005
1750424148,3056640,4070400,0.860000014
1750424252,3072000,4085760,0.839999974
1750424357,3087360,4101120,0.860000014
1750424462,3102720,4116480,0.920000017
1750424567,3118080,4131840,0.769999981
1750424671,3133440,4147200,0.889999986
1750424775,3148800,4162560,0.75999999
1750424880,3164160,4177920,0.870000005
1750424985,3179520,4193280,0.850000024
1750425090,3194880,4208640,0.889999986
1750425195,3210240,4224000,0.860000014
1750425300,3225600,4239360,0.75999999
1750425405,3240960,4254720,0.800000012
1750425511,3256320,4270080,0.819999993
1750425616,3271680,4285440,0.889999986
1750425721,3287040,4300800,0.910000026
1750425826,3302400,4316160,0.819999993
1750425930,3317760,4331520,0.860000014
1750426035,3333120,4346880,0.870000005
1750426139,3348480,4362240,0.899999976
1750426244,3363840,4377600,0.879999995
1750426349,3379200,4392960,0.800000012
1750426455,3394560,4408320,0.879999995
1750426559,3409920,4423680,0.889999986
1750426664,3425280,4439040,0.870000005
1750426769,3440640,4454400,0.850000024
1750426873,3456000,4469760,0.800000012
1750426978,3471360,4485120,0.860000014
1750427083,3486720,4500480,0.899999976
1750427186,3502080,4515840,0.850000024
1750427291,3517440,4531200,0.899999976
1750427396,3532800,4546560,0.819999993
1750427501,3548160,4561920,0.949999988
1750427606,3563520,4577280,0.829999983
1750427711,3578880,4592640,0.839999974
1750427816,3594240,4608000,0.910000026
1750427920,3609600,4623360,0.879999995
1750428025,3624960,4638720,0.850000024
1750428130,3640320,4654080,0.920000017
1750428235,3655680,4669440,0.779999971
1750428340,3671040,4684800,0.829999983
1750428445,3686400,4700160,0.850000024
1750428551,3701760,4715520,0.899999976
1750428653,3717120,4730880,0.879999995
1750428759,3732480,4746240,0.920000017
1750428863,3747840,4761600,0.899999976
1750428968,3763200,4776960,0.899999976
1750429074,3778560,4792320,0.910000026
1750429179,3793920,4807680,0.889999986
1750429284,3809280,4823040,0.800000012
1750429388,3824640,4838400,0.910000026
1750429493,3840000,4853760,0.920000017
1750429598,3855360,4869120,0.910000026
1750429703,3870720,4884480,0.879999995
1750429807,3886080,4899840,0.879999995
1750429912,3901440,4915200,0.930000007
1750430017,3916800,4930560,0.910000026
1750430122,3932160,4945920,0.920000017
1750430227,3947520,4961280,0.920000017
1750430332,3962880,4976640,0.949999988
1750430436,3978240,4992000,0.899999976
1750430540,3993600,5007360,0.899999976
1750430645,4008960,5022720,0.779999971
1750430750,4024320,5038080,0.870000005
1750430856,4039680,5053440,0.839999974
1750430960,4055040,5068800,0.899999976
1750431065,4070400,5084160,0.980000019
1750431170,4085760,5099520,0.889999986
1750431275,4101120,5114880,0.939999998
1750431379,4116480,5130240,0.930000007
1750431483,4131840,5145600,0.889999986
1750431588,4147200,5160960,0.819999993
1750431692,4162560,5176320,0.920000017
1750431798,4177920,5191680,0.949999988
1750431902,4193280,5207040,0.930000007
1750432007,4208640,5222400,0.949999988
1750432111,4224000,5237760,0.930000007
1750432216,4239360,5253120,0.839999974
1750432320,4254720,5268480,0.860000014
1750432425,4270080,5283840,0.899999976
